occurrenceID;basisOfRecord;institutionCode;eventDate;year;occurrenceRemarks;scientificName;kingdom;phylum;class;order;family;genus;specificEpithet;infraspecificEpithet;taxonRank;verbatimIdentification;typeStatus;decimalLatitude;decimalLongitude;geodeticDatum;coordinateUncertaintyInMeters;continent;country;countryCode;stateProvince;locality;identifiedBy;minimumElevationInMeters;maximumElevationInMeters;type;license;references;catalogNumber;recordedBy
https://italic.units.it/object/ITL1005668;PreservedSpecimen;TSB;1988-03-04/1988-03-28;1988;"On Soil over siliceous substrata";"Cetraria aculeata (Schreb.) Fr.";Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Parmeliaceae;Cetraria;aculeata;;species;"CETRARIA ACULEATA (SCHREB.) TH.FR.";;43.035355;9.809297;WGS84;2500;Europe;Italy;IT;Toscana;"Tuscan Archipelago Island of Capraia";;350;350;PhysicalObject;https://creativecommons.org/licenses/by-sa/4.0/;https://italic.units.it/object/ITL1005668;10434;"P. L. Nimis, M. Tretiach & M. Castello"
https://italic.units.it/object/ITL1005669;PreservedSpecimen;TSB;;;"On Soil over siliceous substrata";"Cetraria aculeata (Schreb.) Fr.";Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Parmeliaceae;Cetraria;aculeata;;species;"CETRARIA ACULEATA (SCHREB.) TH.FR.";;39.039958333333;16.30225;WGS84;300;Europe;Italy;IT;Calabria;"Serre Catanzaresi";;1330;1330;PhysicalObject;https://creativecommons.org/licenses/by-sa/4.0/;https://italic.units.it/object/ITL1005669;10651;
https://italic.units.it/object/ITL1005671;PreservedSpecimen;TSB;1988-07-12;1988;"On Soil over siliceous substrata";"Cetraria aculeata (Schreb.) Fr.";Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Parmeliaceae;Cetraria;aculeata;;species;"CETRARIA ACULEATA (SCHREB.) TH.FR.";;38.162408333333;15.922658333333;WGS84;1000;Europe;Italy;IT;Calabria;"Aspromonte Massif Loc. Pietra Impiccata";;1750;1750;PhysicalObject;https://creativecommons.org/licenses/by-sa/4.0/;https://italic.units.it/object/ITL1005671;10730;"P. L. Nimis, M. Tretiach & M. Castello"
https://italic.units.it/object/ITL1005673;PreservedSpecimen;TSB;1989-01-03;1989;"On Soil over siliceous substrata";"Cetraria aculeata (Schreb.) Fr.";Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Parmeliaceae;Cetraria;aculeata;;species;"CETRARIA ACULEATA (SCHREB.) TH.FR.";;40.34849565;8.908330538;WGS84;1100;Europe;Italy;IT;Sardegna;"Catena del Marghine, Nuraghe Ortakis and forest of Badde Salighes just below the nuraghe, below P.ta Palai. Dry creek (basaltic rock); closed mixed wood with Ilex aquifolium";;960;960;PhysicalObject;https://creativecommons.org/licenses/by-sa/4.0/;https://italic.units.it/object/ITL1005673;11642;"P. L. Nimis & M. Tretiach"
https://italic.units.it/object/ITL1005674;PreservedSpecimen;TSB;1989-08;1989;"On Soil over siliceous substrata";"Cetraria aculeata (Schreb.) Fr.";Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Parmeliaceae;Cetraria;aculeata;;species;"CETRARIA ACULEATA (SCHREB.) TH.FR.";;39.15208278;8.838695158;WGS84;100;Europe;Italy;IT;Sardegna;"Mt. Arcosu Natural Park of WWF, Mt. Lattias";;1000;1000;PhysicalObject;https://creativecommons.org/licenses/by-sa/4.0/;https://italic.units.it/object/ITL1005674;13406;"P. L. Nimis, C. Roux, M. Tretiach & A. Vĕzda"
https://italic.units.it/object/ITL1005676;PreservedSpecimen;TSB;1990-09-28;1990;"On Soil over calcareous substrata";"Cetraria aculeata (Schreb.) Fr.";Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Parmeliaceae;Cetraria;aculeata;;species;"CETRARIA ACULEATA (SCHREB.) TH.FR.";;46.5675;13.05339;WGS84;200;Europe;Italy;IT;"Friuli Venezia Giulia";"Carnic Alps, M. Paularo";;1950;1950;PhysicalObject;https://creativecommons.org/licenses/by-sa/4.0/;https://italic.units.it/object/ITL1005676;14760;"M. Tretiach & M. Castello"
https://italic.units.it/object/ITL1005681;PreservedSpecimen;TSB;1981-09-16;1981;;"Cetraria aculeata (Schreb.) Fr.";Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Parmeliaceae;Cetraria;aculeata;;species;"CETRARIA ACULEATA (SCHREB.) TH.FR.";;46.5699;13.05124;WGS84;100;Europe;Italy;IT;"Friuli Venezia Giulia";"Carnic Alps, M. Paularo";;2000;2000;PhysicalObject;https://creativecommons.org/licenses/by-sa/4.0/;https://italic.units.it/object/ITL1005681;1696;"P. L. Nimis"
https://italic.units.it/object/ITL1005682;PreservedSpecimen;TSB;;;"On Wood";"Cetraria aculeata (Schreb.) Fr.";Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Parmeliaceae;Cetraria;aculeata;;species;"CETRARIA ACULEATA (SCHREB.) TH.FR.";;42.185700;13.767900;WGS84;700;Europe;Italy;IT;Abruzzo;"S. Benedetto in Perillis";;1044;1044;PhysicalObject;https://creativecommons.org/licenses/by-sa/4.0/;https://italic.units.it/object/ITL1005682;17085;
https://italic.units.it/object/ITL1005683;PreservedSpecimen;TSB;1993-09-08;1993;"On Soil over siliceous substrata";"Cetraria aculeata (Schreb.) Fr.";Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Parmeliaceae;Cetraria;aculeata;;species;"CETRARIA ACULEATA (SCHREB.) TH.FR.";;46.5721;12.88980;WGS84;200;Europe;Italy;IT;"Friuli Venezia Giulia";"Carnic Alps, M. Crostis (Paularo)";;2200;2200;PhysicalObject;https://creativecommons.org/licenses/by-sa/4.0/;https://italic.units.it/object/ITL1005683;17844;"G. Bolognini & M. Tretiach"
https://italic.units.it/object/ITL1005684;PreservedSpecimen;TSB;1993-09-08;1993;"On Siliceous rocks";"Cetraria aculeata (Schreb.) Fr.";Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Parmeliaceae;Cetraria;aculeata;;species;"CETRARIA ACULEATA (SCHREB.) TH.FR.";;46.5721;12.88980;WGS84;200;Europe;Italy;IT;"Friuli Venezia Giulia";"Carnic Alps, M. Crostis (Paularo)";;2200;2200;PhysicalObject;https://creativecommons.org/licenses/by-sa/4.0/;https://italic.units.it/object/ITL1005684;17870;"G. Bolognini & M. Tretiach"
